locus_tag	ftype	length_bp	gene	EC_number	COG	product
IMAGBKIO_00873	CDS	336				hypothetical protein
IMAGBKIO_00874	CDS	1503	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
IMAGBKIO_00875	CDS	2619	gyrA_2	5.6.2.2	COG0188	DNA gyrase subunit A
IMAGBKIO_00876	CDS	1638				hypothetical protein
IMAGBKIO_00877	CDS	951	cmpR_1		COG0583	HTH-type transcriptional activator CmpR
IMAGBKIO_00878	CDS	783				hypothetical protein
IMAGBKIO_00879	CDS	747				hypothetical protein
IMAGBKIO_00880	CDS	1668	ccmM		COG0663	Carbon dioxide concentrating mechanism protein CcmM
IMAGBKIO_00881	CDS	306	ccmL			Carbon dioxide concentrating mechanism protein CcmL
IMAGBKIO_00882	CDS	345	ccmK1			Carbon dioxide-concentrating mechanism protein CcmK 
IMAGBKIO_00883	CDS	309	ccmK2			Carbon dioxide-concentrating mechanism protein CcmK 
IMAGBKIO_00884	CDS	1857	nuoL_1	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
IMAGBKIO_00885	CDS	1503	ndhD1_2	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
IMAGBKIO_00886	CDS	1131				hypothetical protein
IMAGBKIO_00887	CDS	3714				hypothetical protein
IMAGBKIO_00888	CDS	204				hypothetical protein
IMAGBKIO_00889	CDS	894	nifH	1.18.6.1	COG1348	Nitrogenase iron protein
IMAGBKIO_00890	CDS	1659	amyX	3.2.1.41	COG1523	Pullulanase
IMAGBKIO_00891	CDS	378				hypothetical protein
IMAGBKIO_00892	CDS	306	acyP	3.6.1.7	COG1254	Acylphosphatase
IMAGBKIO_00893	CDS	819				hypothetical protein
IMAGBKIO_00894	CDS	987	adhA	1.1.1.1	COG1064	putative alcohol dehydrogenase AdhA
IMAGBKIO_00895	CDS	2109	prlC	3.4.24.70	COG0339	Oligopeptidase A
IMAGBKIO_00896	CDS	264				hypothetical protein
IMAGBKIO_00897	CDS	852				hypothetical protein
IMAGBKIO_00898	CDS	117	psbM			Photosystem II reaction center protein M
IMAGBKIO_00899	CDS	297				hypothetical protein
IMAGBKIO_00900	CDS	138	psbK			Photosystem II reaction center protein K
IMAGBKIO_00901	CDS	5553	pknD_8	2.7.11.1		Serine/threonine-protein kinase PknD
IMAGBKIO_00902	CDS	540				hypothetical protein
IMAGBKIO_00903	CDS	711	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
IMAGBKIO_00904	CDS	1818	cpoB_2			Cell division coordinator CpoB
IMAGBKIO_00905	CDS	228				hypothetical protein
IMAGBKIO_00906	CDS	390				hypothetical protein
IMAGBKIO_00907	CDS	402				hypothetical protein
IMAGBKIO_00908	CDS	1095				hypothetical protein
IMAGBKIO_00909	CDS	726				hypothetical protein
IMAGBKIO_00910	CDS	1170		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
IMAGBKIO_00911	CDS	408				hypothetical protein
IMAGBKIO_00912	CDS	1170		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
IMAGBKIO_00913	CDS	342				hypothetical protein
IMAGBKIO_00914	CDS	342				hypothetical protein
IMAGBKIO_00915	CDS	5388	sasA_7	2.7.-.-		Adaptive-response sensory-kinase SasA
IMAGBKIO_00916	CDS	855				hypothetical protein
IMAGBKIO_00917	CDS	747				hypothetical protein
IMAGBKIO_00918	CDS	861	ttuD		COG2897	Sulfur carrier protein TtuD
IMAGBKIO_00919	CDS	126				hypothetical protein
IMAGBKIO_00920	CDS	1347	der_2			GTPase Der
IMAGBKIO_00921	CDS	279				hypothetical protein
IMAGBKIO_00922	CDS	819	tlyA	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
IMAGBKIO_00923	CDS	786	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
IMAGBKIO_00924	CDS	783	pstB3_2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
IMAGBKIO_00925	CDS	879	pstA_1		COG0581	Phosphate transport system permease protein PstA
IMAGBKIO_00926	CDS	1023	pstC_1		COG0573	Phosphate transport system permease protein PstC
IMAGBKIO_00927	CDS	1044	pstS		COG0226	Phosphate-binding protein PstS
IMAGBKIO_00928	CDS	975	era		COG1159	GTPase Era
IMAGBKIO_00929	CDS	678	liaR_1		COG2197	Transcriptional regulatory protein LiaR
IMAGBKIO_00930	CDS	234				hypothetical protein
IMAGBKIO_00931	CDS	990	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
IMAGBKIO_00932	CDS	906				hypothetical protein
IMAGBKIO_00933	CDS	1281	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IMAGBKIO_00934	CDS	846				hypothetical protein
IMAGBKIO_00935	CDS	1020				hypothetical protein
IMAGBKIO_00936	CDS	1290	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
IMAGBKIO_00937	CDS	1542				hypothetical protein
IMAGBKIO_00938	CDS	351	xamoC			Alkene monooxygenase system, ferredoxin component
IMAGBKIO_00939	CDS	807				hypothetical protein
IMAGBKIO_00940	CDS	204				hypothetical protein
IMAGBKIO_00941	CDS	438				hypothetical protein
IMAGBKIO_00942	CDS	252				hypothetical protein
IMAGBKIO_00943	CDS	213				hypothetical protein
IMAGBKIO_00944	CDS	5952	rcsC_10	2.7.13.3		Sensor histidine kinase RcsC
IMAGBKIO_00945	CDS	2943				hypothetical protein
IMAGBKIO_00946	CDS	531				hypothetical protein
IMAGBKIO_00947	CDS	366	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
IMAGBKIO_00948	CDS	1239	patA_2		COG0784	Protein PatA
IMAGBKIO_00949	CDS	1752	smc_1			Chromosome partition protein Smc
IMAGBKIO_00950	CDS	1029	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
IMAGBKIO_00951	CDS	690				hypothetical protein
IMAGBKIO_00952	CDS	1434				hypothetical protein
IMAGBKIO_00953	CDS	312				hypothetical protein
IMAGBKIO_00954	CDS	1056	ccsA			Cytochrome c biogenesis protein CcsA
IMAGBKIO_00955	CDS	1719				hypothetical protein
IMAGBKIO_00956	CDS	630				hypothetical protein
IMAGBKIO_00957	tRNA	83				tRNA-Leu(gag)
IMAGBKIO_00958	CDS	1344	accC	6.3.4.14	COG0439	Biotin carboxylase
IMAGBKIO_00959	CDS	294				hypothetical protein
IMAGBKIO_00960	CDS	120	psbX			Photosystem II reaction center X protein
IMAGBKIO_00961	CDS	903				hypothetical protein
IMAGBKIO_00962	CDS	561	tolB_6			Tol-Pal system protein TolB
IMAGBKIO_00963	CDS	522	tolB_7			Tol-Pal system protein TolB
IMAGBKIO_00964	CDS	1002				hypothetical protein
IMAGBKIO_00965	CDS	435				hypothetical protein
IMAGBKIO_00966	CDS	828				hypothetical protein
IMAGBKIO_00967	CDS	957	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
IMAGBKIO_00968	CDS	1002	ctaA	1.3.-.-		Heme A synthase
IMAGBKIO_00969	CDS	981				hypothetical protein
IMAGBKIO_00970	CDS	1728	ctaD_1	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
IMAGBKIO_00971	CDS	624	ctaE_1	1.9.3.1	COG1845	putative cytochrome c oxidase subunit 3
IMAGBKIO_00972	CDS	420				hypothetical protein
IMAGBKIO_00973	CDS	912				Inward rectifier potassium channel Kirbac3.1
IMAGBKIO_00974	CDS	741	clcD_1	3.1.1.45		Carboxymethylenebutenolidase
IMAGBKIO_00975	CDS	333				hypothetical protein
IMAGBKIO_00976	CDS	450				hypothetical protein
IMAGBKIO_00977	CDS	1428				hypothetical protein
IMAGBKIO_00978	CDS	1410				hypothetical protein
IMAGBKIO_00979	CDS	1767				hypothetical protein
IMAGBKIO_00980	CDS	624	mobA	2.7.7.77	COG0746	putative molybdenum cofactor guanylyltransferase
IMAGBKIO_00981	CDS	318				hypothetical protein
IMAGBKIO_00982	CDS	3123				hypothetical protein
IMAGBKIO_00983	CDS	345				hypothetical protein
IMAGBKIO_00984	CDS	1446				hypothetical protein
IMAGBKIO_00985	CDS	2070				hypothetical protein
IMAGBKIO_00986	CDS	1488				hypothetical protein
IMAGBKIO_00987	CDS	882				hypothetical protein
IMAGBKIO_00988	CDS	1632				hypothetical protein
IMAGBKIO_00989	CDS	951	bcrA			Bacitracin transport ATP-binding protein BcrA
IMAGBKIO_00990	CDS	1689				hypothetical protein
IMAGBKIO_00991	CDS	756	opuBA		COG1125	Choline transport ATP-binding protein OpuBA
IMAGBKIO_00992	CDS	633	opuCB		COG1174	Carnitine transport permease protein OpuCB
IMAGBKIO_00993	CDS	909	opuCC		COG1732	Carnitine transport binding protein OpuCC
IMAGBKIO_00994	CDS	720				hypothetical protein
IMAGBKIO_00995	CDS	828				hypothetical protein
IMAGBKIO_00996	CDS	231				hypothetical protein
IMAGBKIO_00997	CDS	3561	rcsC_11	2.7.13.3		Sensor histidine kinase RcsC
IMAGBKIO_00998	CDS	273				hypothetical protein
IMAGBKIO_00999	CDS	657				hypothetical protein
IMAGBKIO_01000	CDS	1104	ddl	6.3.2.4		D-alanine--D-alanine ligase
IMAGBKIO_01001	CDS	849			COG0204	putative protein
IMAGBKIO_01002	CDS	1374	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
IMAGBKIO_01003	CDS	1083	prtS	3.4.24.-		Protease PrtS
IMAGBKIO_01004	CDS	456				hypothetical protein
IMAGBKIO_01005	CDS	1209	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
IMAGBKIO_01006	CDS	969				hypothetical protein
IMAGBKIO_01007	CDS	312				hypothetical protein
IMAGBKIO_01008	CDS	1200				hypothetical protein
IMAGBKIO_01009	CDS	528	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
IMAGBKIO_01010	CDS	276				hypothetical protein
IMAGBKIO_01011	CDS	1467	nrgA_1			Ammonium transporter
IMAGBKIO_01012	CDS	90				hypothetical protein
IMAGBKIO_01013	CDS	1557	amtB			Ammonia channel
IMAGBKIO_01014	CDS	1413	nrgA_2			Ammonium transporter
IMAGBKIO_01015	CDS	3210				hypothetical protein
IMAGBKIO_01016	CDS	477				hypothetical protein
IMAGBKIO_01017	CDS	1467				hypothetical protein
IMAGBKIO_01018	CDS	363				hypothetical protein
IMAGBKIO_01019	CDS	915	ydbD	1.11.1.6	COG3546	putative manganese catalase
IMAGBKIO_01020	CDS	894				IS982 family transposase ISNsp1
IMAGBKIO_01021	CDS	1080		2.4.1.11	COG0438	Glycogen synthase
IMAGBKIO_01022	CDS	546				hypothetical protein
IMAGBKIO_01023	CDS	483				hypothetical protein
IMAGBKIO_01024	CDS	399				hypothetical protein
IMAGBKIO_01025	CDS	1146	pucG	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
IMAGBKIO_01026	CDS	243				hypothetical protein
IMAGBKIO_01027	CDS	720				hypothetical protein
IMAGBKIO_01028	CDS	1431				hypothetical protein
IMAGBKIO_01029	CDS	954	rsmF	2.1.1.178		Ribosomal RNA small subunit methyltransferase F
IMAGBKIO_01030	CDS	372				hypothetical protein
IMAGBKIO_01031	CDS	381				hypothetical protein
IMAGBKIO_01032	CDS	561	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
IMAGBKIO_01033	CDS	1299				hypothetical protein
IMAGBKIO_01034	CDS	1512	resA_1			Thiol-disulfide oxidoreductase ResA
IMAGBKIO_01035	CDS	342				hypothetical protein
IMAGBKIO_01036	CDS	576	rayT_1		COG1943	REP-associated tyrosine transposase
IMAGBKIO_01037	CDS	390				hypothetical protein
IMAGBKIO_01038	CDS	189				hypothetical protein
IMAGBKIO_01039	CDS	1395	atzE	3.5.1.131		1-carboxybiuret hydrolase subunit AtzE
IMAGBKIO_01040	CDS	828	map_1	3.4.11.18	COG0024	Methionine aminopeptidase 1
IMAGBKIO_01041	CDS	516				hypothetical protein
IMAGBKIO_01042	CDS	2838				hypothetical protein
IMAGBKIO_01043	CDS	429				hypothetical protein
IMAGBKIO_01044	CDS	120				hypothetical protein
IMAGBKIO_01045	CDS	513				hypothetical protein
IMAGBKIO_01046	CDS	609	caiE			Carnitine operon protein CaiE
IMAGBKIO_01047	CDS	126	psbY			Photosystem II protein Y
IMAGBKIO_01048	CDS	1254	fpgS	6.3.2.17		Folylpolyglutamate synthase
IMAGBKIO_01049	CDS	1299				hypothetical protein
IMAGBKIO_01050	CDS	1107				hypothetical protein
IMAGBKIO_01051	CDS	768				hypothetical protein
IMAGBKIO_01052	CDS	762				hypothetical protein
IMAGBKIO_01053	CDS	2472	sctC			Type 3 secretion system secretin
IMAGBKIO_01054	CDS	504				hypothetical protein
IMAGBKIO_01055	CDS	327				hypothetical protein
IMAGBKIO_01056	CDS	372				hypothetical protein
IMAGBKIO_01057	CDS	441				hypothetical protein
IMAGBKIO_01058	CDS	894				hypothetical protein
IMAGBKIO_01059	CDS	2022				hypothetical protein
IMAGBKIO_01060	CDS	243				hypothetical protein
IMAGBKIO_01061	CDS	1197	aspC_1	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
IMAGBKIO_01062	CDS	438				hypothetical protein
IMAGBKIO_01063	CDS	1038		3.1.3.11		D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase
IMAGBKIO_01064	CDS	1287	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
IMAGBKIO_01065	CDS	711				hypothetical protein
IMAGBKIO_01066	CDS	174				hypothetical protein
IMAGBKIO_01067	CDS	591				hypothetical protein
IMAGBKIO_01068	CDS	912				hypothetical protein
IMAGBKIO_01069	CDS	783	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
IMAGBKIO_01070	CDS	1134				hypothetical protein
IMAGBKIO_01071	CDS	198				hypothetical protein
IMAGBKIO_01072	CDS	246				hypothetical protein
IMAGBKIO_01073	CDS	1587	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
IMAGBKIO_01074	CDS	1170	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
IMAGBKIO_01075	CDS	879				hypothetical protein
IMAGBKIO_01076	CDS	1461	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
IMAGBKIO_01077	CDS	1353	dnaE_1	2.7.7.7	COG0587	DNA polymerase III subunit alpha
IMAGBKIO_01078	CDS	546				hypothetical protein
IMAGBKIO_01079	CDS	456				hypothetical protein
IMAGBKIO_01080	CDS	321				hypothetical protein
IMAGBKIO_01081	CDS	3066	gph_2	3.1.3.18		Phosphoglycolate phosphatase
IMAGBKIO_01082	CDS	2418	susA_1	2.4.1.13	COG0438	Sucrose synthase
IMAGBKIO_01083	CDS	453				hypothetical protein
IMAGBKIO_01084	CDS	2247		1.-.-.-	COG0243	putative oxidoreductase
IMAGBKIO_01085	CDS	492	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
IMAGBKIO_01086	CDS	921				hypothetical protein
IMAGBKIO_01087	CDS	123				hypothetical protein
IMAGBKIO_01088	CDS	786				hypothetical protein
IMAGBKIO_01089	CDS	438				hypothetical protein
IMAGBKIO_01090	CDS	3543	rcsC_12	2.7.13.3		Sensor histidine kinase RcsC
IMAGBKIO_01091	CDS	3303				hypothetical protein
IMAGBKIO_01092	CDS	501				hypothetical protein
IMAGBKIO_01093	CDS	363	walR_2		COG0745	Transcriptional regulatory protein WalR
IMAGBKIO_01094	CDS	1185	rcsC_13	2.7.13.3		Sensor histidine kinase RcsC
IMAGBKIO_01095	CDS	2883	ileS	6.1.1.5		Isoleucine--tRNA ligase
IMAGBKIO_01096	CDS	660				hypothetical protein
IMAGBKIO_01097	CDS	885	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
IMAGBKIO_01098	CDS	984				hypothetical protein
IMAGBKIO_01099	CDS	747	clcD_2	3.1.1.45		Carboxymethylenebutenolidase
IMAGBKIO_01100	CDS	918	rpsA_2		COG0539	30S ribosomal protein S1
IMAGBKIO_01101	CDS	1065	kefC_2			Glutathione-regulated potassium-efflux system protein KefC
IMAGBKIO_01102	CDS	1284	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
IMAGBKIO_01103	CDS	1023	ycf3_2			Photosystem I assembly protein Ycf3
IMAGBKIO_01104	CDS	369	psb28			Photosystem II reaction center Psb28 protein
IMAGBKIO_01105	CDS	726				hypothetical protein
IMAGBKIO_01106	CDS	1836				hypothetical protein
IMAGBKIO_01107	CDS	126				hypothetical protein
IMAGBKIO_01108	CDS	768				hypothetical protein
IMAGBKIO_01109	CDS	1137	rssB_3			Regulator of RpoS
IMAGBKIO_01110	CDS	327	rsbV		COG1366	Anti-sigma-B factor antagonist
IMAGBKIO_01111	CDS	1407	sasA_8	2.7.-.-		Adaptive-response sensory-kinase SasA
IMAGBKIO_01112	CDS	1347				hypothetical protein
IMAGBKIO_01113	CDS	1437				hypothetical protein
IMAGBKIO_01114	CDS	366				hypothetical protein
IMAGBKIO_01115	CDS	1461	cysS	6.1.1.16		Cysteine--tRNA ligase
IMAGBKIO_01116	CDS	1125	yciC_1		COG0523	Putative metal chaperone YciC
IMAGBKIO_01117	CDS	1059	sphX		COG0226	Protein SphX
IMAGBKIO_01118	CDS	1014	gap3	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 3
IMAGBKIO_01119	CDS	1263				hypothetical protein
IMAGBKIO_01120	CDS	1131	acr3		COG0798	Arsenical-resistance protein Acr3
IMAGBKIO_01121	CDS	963				IS110 family transposase ISMae40
IMAGBKIO_01122	CDS	996	yfiY_1		COG0614	putative siderophore-binding lipoprotein YfiY
IMAGBKIO_01123	CDS	2631	btuB_1			Vitamin B12 transporter BtuB
IMAGBKIO_01124	CDS	321				hypothetical protein
IMAGBKIO_01125	CDS	453	cadI		COG0346	Cadmium-induced protein CadI
IMAGBKIO_01126	CDS	396	arsC	1.20.4.1		Glutaredoxin arsenate reductase
IMAGBKIO_01127	CDS	1392		1.13.11.-	COG3670	Carotenoid cleavage oxygenase
IMAGBKIO_01128	CDS	639	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
IMAGBKIO_01129	CDS	1509	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
IMAGBKIO_01130	CDS	384				hypothetical protein
IMAGBKIO_01131	CDS	1209	srpC		COG2059	putative chromate transport protein
IMAGBKIO_01132	CDS	225				hypothetical protein
IMAGBKIO_01133	CDS	234				hypothetical protein
IMAGBKIO_01134	CDS	2196	cpoB_3			Cell division coordinator CpoB
IMAGBKIO_01135	CDS	1383				Iron-sulfur cluster carrier protein
IMAGBKIO_01136	CDS	759				hypothetical protein
IMAGBKIO_01137	CDS	207				hypothetical protein
IMAGBKIO_01138	CDS	957				hypothetical protein
IMAGBKIO_01139	CDS	1230	mshA_5	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
IMAGBKIO_01140	CDS	2208				hypothetical protein
IMAGBKIO_01141	CDS	768				hypothetical protein
IMAGBKIO_01142	CDS	243				hypothetical protein
IMAGBKIO_01143	CDS	5799	rcsC_14	2.7.13.3		Sensor histidine kinase RcsC
IMAGBKIO_01144	CDS	513				Putative universal stress protein
IMAGBKIO_01145	CDS	492				Orange carotenoid-binding protein
IMAGBKIO_01146	CDS	699	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
IMAGBKIO_01147	CDS	381				hypothetical protein
IMAGBKIO_01148	CDS	1371	norW	1.18.1.-		Nitric oxide reductase FlRd-NAD(+) reductase
IMAGBKIO_01149	CDS	1362		1.6.99.-	COG1252	NADH dehydrogenase-like protein
IMAGBKIO_01150	CDS	3627	smc_2		COG1196	Chromosome partition protein Smc
IMAGBKIO_01151	CDS	978				hypothetical protein
IMAGBKIO_01152	CDS	570				hypothetical protein
IMAGBKIO_01153	CDS	234				hypothetical protein
IMAGBKIO_01154	CDS	1998	uvrB_1			UvrABC system protein B
IMAGBKIO_01155	CDS	483				hypothetical protein
IMAGBKIO_01156	CDS	183				hypothetical protein
IMAGBKIO_01157	CDS	441				hypothetical protein
IMAGBKIO_01158	CDS	522				hypothetical protein
IMAGBKIO_01159	CDS	324				hypothetical protein
IMAGBKIO_01160	CDS	1155	lysDH	1.4.1.18		Lysine 6-dehydrogenase
IMAGBKIO_01161	CDS	174				hypothetical protein
IMAGBKIO_01162	CDS	585				hypothetical protein
IMAGBKIO_01163	CDS	942				hypothetical protein
IMAGBKIO_01164	CDS	855	tyrC	1.3.1.43		Cyclohexadienyl dehydrogenase
IMAGBKIO_01165	CDS	1566				hypothetical protein
IMAGBKIO_01166	CDS	582				hypothetical protein
IMAGBKIO_01167	CDS	873				hypothetical protein
IMAGBKIO_01168	CDS	1926	sasA_9	2.7.-.-		Adaptive-response sensory-kinase SasA
IMAGBKIO_01169	CDS	2544				hypothetical protein
IMAGBKIO_01170	CDS	3387				hypothetical protein
IMAGBKIO_01171	CDS	1095				hypothetical protein
IMAGBKIO_01172	CDS	426				hypothetical protein
IMAGBKIO_01173	CDS	405				hypothetical protein
IMAGBKIO_01174	CDS	723				hypothetical protein
IMAGBKIO_01175	CDS	882	dpnM_2	2.1.1.72		Modification methylase DpnIIA
IMAGBKIO_01176	CDS	1089	trpD2_2	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase 2
IMAGBKIO_01177	CDS	1110				hypothetical protein
IMAGBKIO_01178	CDS	1167	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
IMAGBKIO_01179	CDS	402				hypothetical protein
IMAGBKIO_01180	CDS	1212				IS200/IS605 family transposase ISAsp18
IMAGBKIO_01181	CDS	486	mrnC	3.1.26.-		Mini-ribonuclease 3
IMAGBKIO_01182	CDS	1008	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
IMAGBKIO_01183	CDS	303				hypothetical protein
IMAGBKIO_01184	CDS	828	todF	3.7.1.25		2-hydroxy-6-oxo-2,4-heptadienoate hydrolase
IMAGBKIO_01185	CDS	411	queF	1.7.1.13		NADPH-dependent 7-cyano-7-deazaguanine reductase
IMAGBKIO_01186	CDS	396				hypothetical protein
IMAGBKIO_01187	CDS	381				hypothetical protein
IMAGBKIO_01188	CDS	267				hypothetical protein
IMAGBKIO_01189	CDS	540	thpR	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
IMAGBKIO_01190	CDS	729				hypothetical protein
IMAGBKIO_01191	CDS	1335				hypothetical protein
IMAGBKIO_01192	CDS	1098	cysK_1	2.5.1.47		Cysteine synthase
IMAGBKIO_01193	CDS	705	tcrA_1		COG0745	Transcriptional regulatory protein TcrA
IMAGBKIO_01194	CDS	1347	sasA_10	2.7.-.-		Adaptive-response sensory-kinase SasA
IMAGBKIO_01195	CDS	717	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
IMAGBKIO_01196	CDS	567	dps_2	1.16.-.-	COG0783	DNA protection during starvation protein
IMAGBKIO_01197	CDS	714	norV_1			Anaerobic nitric oxide reductase flavorubredoxin
IMAGBKIO_01198	CDS	2643				hypothetical protein
IMAGBKIO_01199	CDS	2607				hypothetical protein
IMAGBKIO_01200	CDS	1323	rcsC_15	2.7.13.3		Sensor histidine kinase RcsC
IMAGBKIO_01201	CDS	2769	rcsC_16	2.7.13.3		Sensor histidine kinase RcsC
IMAGBKIO_01202	CDS	720				hypothetical protein
IMAGBKIO_01203	CDS	1269				hypothetical protein
IMAGBKIO_01204	CDS	351				hypothetical protein
IMAGBKIO_01205	CDS	1566				hypothetical protein
IMAGBKIO_01206	CDS	2553				hypothetical protein
IMAGBKIO_01207	CDS	159				hypothetical protein
IMAGBKIO_01208	CDS	1458	hxuB_1		COG2831	Heme/hemopexin transporter protein HuxB
IMAGBKIO_01209	CDS	201				hypothetical protein
IMAGBKIO_01210	CDS	1008	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
IMAGBKIO_01211	CDS	1056				hypothetical protein
IMAGBKIO_01212	CDS	360				hypothetical protein
IMAGBKIO_01213	CDS	1308	sasA_11	2.7.-.-		Adaptive-response sensory-kinase SasA
IMAGBKIO_01214	CDS	1419	sasA_12	2.7.-.-		Adaptive-response sensory-kinase SasA
IMAGBKIO_01215	CDS	504				hypothetical protein
IMAGBKIO_01216	CDS	687	mprA_1			Response regulator MprA
IMAGBKIO_01217	CDS	273				hypothetical protein
IMAGBKIO_01218	CDS	1074				hypothetical protein
IMAGBKIO_01219	CDS	777				hypothetical protein
IMAGBKIO_01220	CDS	813				hypothetical protein
IMAGBKIO_01221	CDS	753				hypothetical protein
IMAGBKIO_01222	CDS	2133				hypothetical protein
IMAGBKIO_01223	CDS	2169	lagD_1	3.4.22.-		Lactococcin-G-processing and transport ATP-binding protein LagD
IMAGBKIO_01224	CDS	189				hypothetical protein
IMAGBKIO_01225	CDS	288				hypothetical protein
IMAGBKIO_01226	CDS	273				hypothetical protein
IMAGBKIO_01227	CDS	207				hypothetical protein
IMAGBKIO_01228	CDS	927	hsaD	3.7.1.17		4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase
IMAGBKIO_01229	CDS	555				hypothetical protein
IMAGBKIO_01230	CDS	729	pyrH	2.7.4.22	COG0528	Uridylate kinase
IMAGBKIO_01231	CDS	549	frr		COG0233	Ribosome-recycling factor
IMAGBKIO_01232	CDS	1122	menJ	1.3.99.38	COG0644	Menaquinone reductase
IMAGBKIO_01233	CDS	2721				hypothetical protein
IMAGBKIO_01234	CDS	1341				hypothetical protein
IMAGBKIO_01235	CDS	963				IS110 family transposase ISMae40
IMAGBKIO_01236	CDS	963	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
IMAGBKIO_01237	CDS	780				hypothetical protein
IMAGBKIO_01238	CDS	450	psbU			Photosystem II 12 kDa extrinsic protein
IMAGBKIO_01239	CDS	1737	nadB	1.4.3.16	COG0029	L-aspartate oxidase
IMAGBKIO_01240	CDS	237				hypothetical protein
IMAGBKIO_01241	CDS	2214				hypothetical protein
IMAGBKIO_01242	CDS	984		1.17.4.-	COG4243	Vitamin K epoxide reductase 
IMAGBKIO_01243	CDS	849				hypothetical protein
IMAGBKIO_01244	CDS	1323	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
IMAGBKIO_01245	CDS	1542	crhR	3.6.4.13		RNA helicase CrhR
IMAGBKIO_01246	CDS	579				hypothetical protein
IMAGBKIO_01247	CDS	948		1.-.-.-	COG0667	putative oxidoreductase
IMAGBKIO_01248	CDS	1128				hypothetical protein
IMAGBKIO_01249	CDS	1053	dusB_1	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
IMAGBKIO_01250	CDS	897				hypothetical protein
IMAGBKIO_01251	CDS	141				hypothetical protein
IMAGBKIO_01252	CDS	5250	rcsC_17	2.7.13.3		Sensor histidine kinase RcsC
IMAGBKIO_01253	CDS	1212	rssB_4			Regulator of RpoS
IMAGBKIO_01254	CDS	1164	rcsC_18	2.7.13.3		Sensor histidine kinase RcsC
IMAGBKIO_01255	CDS	2406				hypothetical protein
IMAGBKIO_01256	CDS	831			COG0204	putative protein
IMAGBKIO_01257	CDS	297				hypothetical protein
IMAGBKIO_01258	CDS	1404	amiB2	3.5.1.4	COG0154	Putative amidase AmiB2
IMAGBKIO_01259	CDS	1515				hypothetical protein
IMAGBKIO_01260	CDS	2058				hypothetical protein
IMAGBKIO_01261	CDS	153				hypothetical protein
