locus_tag	ftype	length_bp	gene	EC_number	COG	product
KHHDGJBG_00862	CDS	777				hypothetical protein
KHHDGJBG_00863	CDS	324				hypothetical protein
KHHDGJBG_00864	CDS	609				hypothetical protein
KHHDGJBG_00865	CDS	615				hypothetical protein
KHHDGJBG_00866	CDS	1392	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
KHHDGJBG_00867	CDS	1527	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
KHHDGJBG_00868	CDS	561	sepF			Cell division protein SepF
KHHDGJBG_00869	CDS	390	manC1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
KHHDGJBG_00870	CDS	255				hypothetical protein
KHHDGJBG_00871	CDS	273				hypothetical protein
KHHDGJBG_00872	CDS	312	groS			10 kDa chaperonin
KHHDGJBG_00873	CDS	1626	groL1			60 kDa chaperonin 1
KHHDGJBG_00874	CDS	2199	mltF	4.2.2.-		Membrane-bound lytic murein transglycosylase F
KHHDGJBG_00875	CDS	585				hypothetical protein
KHHDGJBG_00876	CDS	585				hypothetical protein
KHHDGJBG_00877	CDS	1089	aroC	4.2.3.5	COG0082	Chorismate synthase
KHHDGJBG_00878	CDS	387	rplL			50S ribosomal protein L7/L12
KHHDGJBG_00879	CDS	522	rplJ			50S ribosomal protein L10
KHHDGJBG_00880	CDS	717	rplA		COG0081	50S ribosomal protein L1
KHHDGJBG_00881	CDS	426	rplK		COG0080	50S ribosomal protein L11
KHHDGJBG_00882	CDS	618	nusG		COG0250	Transcription termination/antitermination protein NusG
KHHDGJBG_00883	CDS	246	secE			Protein translocase subunit SecE
KHHDGJBG_00884	tRNA	75				tRNA-Trp(cca)
KHHDGJBG_00885	CDS	369	rplS		COG0335	50S ribosomal protein L19
KHHDGJBG_00886	CDS	393				hypothetical protein
KHHDGJBG_00887	CDS	996			COG0596	putative protein
KHHDGJBG_00888	CDS	1080				hypothetical protein
KHHDGJBG_00889	CDS	696				hypothetical protein
KHHDGJBG_00890	CDS	483				hypothetical protein
KHHDGJBG_00891	CDS	321				Ferredoxin-1
KHHDGJBG_00892	CDS	993	phaE			Poly(3-hydroxyalkanoate) polymerase subunit PhaE
KHHDGJBG_00893	CDS	1137	phaC	2.3.1.-		Poly(3-hydroxyalkanoate) polymerase subunit PhaC
KHHDGJBG_00894	CDS	384				hypothetical protein
KHHDGJBG_00895	CDS	402			COG2335	Immunogenic protein MPT70
KHHDGJBG_00896	CDS	1296				hypothetical protein
KHHDGJBG_00897	CDS	1509	ndhD1_2	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
KHHDGJBG_00898	CDS	1848	nuoL_1	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
KHHDGJBG_00899	CDS	633				hypothetical protein
KHHDGJBG_00900	CDS	2256	psaA	1.97.1.12		Photosystem I P700 chlorophyll a apoprotein A1
KHHDGJBG_00901	CDS	2196	psaB	1.97.1.12		Photosystem I P700 chlorophyll a apoprotein A2
KHHDGJBG_00902	CDS	990				hypothetical protein
KHHDGJBG_00903	CDS	1833		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
KHHDGJBG_00904	CDS	1140	mshA_5	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KHHDGJBG_00905	CDS	1242	mshA_6	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KHHDGJBG_00906	CDS	1302				hypothetical protein
KHHDGJBG_00907	CDS	705	mprA_1			Response regulator MprA
KHHDGJBG_00908	CDS	975	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
KHHDGJBG_00909	CDS	312	ccmK		COG4577	Carbon dioxide-concentrating mechanism protein CcmK
KHHDGJBG_00910	CDS	339	ccmK4			Carbon dioxide-concentrating mechanism protein CcmK 
KHHDGJBG_00911	CDS	1116	glxK	2.7.1.31	COG1929	Glycerate 3-kinase
KHHDGJBG_00912	CDS	1893				putative protein
KHHDGJBG_00913	CDS	939	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
KHHDGJBG_00914	CDS	1530	zwf2	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 2
KHHDGJBG_00915	CDS	2913	uvrA		COG0178	UvrABC system protein A
KHHDGJBG_00916	CDS	1536				hypothetical protein
KHHDGJBG_00917	CDS	786			COG3039	IS5 family transposase IS5Sa
KHHDGJBG_00918	CDS	414				hypothetical protein
KHHDGJBG_00919	CDS	240				hypothetical protein
KHHDGJBG_00920	CDS	159				hypothetical protein
KHHDGJBG_00921	CDS	1059	cobD_1	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
KHHDGJBG_00922	CDS	303	hup		COG0776	DNA-binding protein HU
KHHDGJBG_00923	CDS	855				hypothetical protein
KHHDGJBG_00924	CDS	1470				hypothetical protein
KHHDGJBG_00925	CDS	1437	deaD	3.6.4.13		ATP-dependent RNA helicase DeaD
KHHDGJBG_00926	CDS	870				hypothetical protein
KHHDGJBG_00927	CDS	1137	cbiD	2.1.1.195		Cobalt-precorrin-5B C(1)-methyltransferase
KHHDGJBG_00928	CDS	936				hypothetical protein
KHHDGJBG_00929	CDS	633				hypothetical protein
KHHDGJBG_00930	CDS	171				hypothetical protein
KHHDGJBG_00931	CDS	486	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
KHHDGJBG_00932	CDS	1419	dinF		COG0534	DNA damage-inducible protein F
KHHDGJBG_00933	CDS	915				hypothetical protein
KHHDGJBG_00934	CDS	213				hypothetical protein
KHHDGJBG_00935	CDS	312				hypothetical protein
KHHDGJBG_00936	CDS	672				hypothetical protein
KHHDGJBG_00937	CDS	543				hypothetical protein
KHHDGJBG_00938	CDS	999			COG0701	Putative two-component membrane permease complex subunit SMU_747c
KHHDGJBG_00939	tRNA	81				tRNA-Leu(gag)
KHHDGJBG_00940	CDS	1242	mshA_7	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KHHDGJBG_00941	CDS	228	tatA_2			Sec-independent protein translocase protein TatA
KHHDGJBG_00942	CDS	1434	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
KHHDGJBG_00943	CDS	1887	ftsH4	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 4
KHHDGJBG_00944	CDS	1038	hypE	4.2.1.-		Carbamoyl dehydratase HypE
KHHDGJBG_00945	CDS	663				hypothetical protein
KHHDGJBG_00946	CDS	678	surE_1	3.1.3.5	COG0496	5'-nucleotidase SurE
KHHDGJBG_00947	CDS	564	def	3.5.1.88		Peptide deformylase
KHHDGJBG_00948	CDS	198				hypothetical protein
KHHDGJBG_00949	CDS	1533	lysS	6.1.1.6		Lysine--tRNA ligase
KHHDGJBG_00950	CDS	957				hypothetical protein
KHHDGJBG_00951	CDS	909				hypothetical protein
KHHDGJBG_00952	CDS	2535				hypothetical protein
KHHDGJBG_00953	CDS	468				hypothetical protein
KHHDGJBG_00954	CDS	192				hypothetical protein
KHHDGJBG_00955	CDS	2145	narB	1.7.5.1	COG0243	Nitrate reductase
KHHDGJBG_00956	CDS	270				hypothetical protein
KHHDGJBG_00957	CDS	990	cmpD_1	3.6.3.-		Bicarbonate transport ATP-binding protein CmpD
KHHDGJBG_00958	CDS	2013	cmpC_1	3.6.3.-	COG0715	Bicarbonate transport ATP-binding protein CmpC
KHHDGJBG_00959	CDS	828	cmpB_1		COG0600	Bicarbonate transport system permease protein CmpB
KHHDGJBG_00960	CDS	1305	nrtA			Nitrate/nitrite binding protein NrtA
KHHDGJBG_00961	CDS	1050	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
KHHDGJBG_00962	CDS	645	gpmA_2	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
KHHDGJBG_00963	CDS	324	rlpA_1	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
KHHDGJBG_00964	CDS	1293	ftsZ			Cell division protein FtsZ
KHHDGJBG_00965	CDS	810	ftsQ			Cell division protein FtsQ
KHHDGJBG_00966	CDS	1272		3.4.21.-		putative CtpA-like serine protease
KHHDGJBG_00967	CDS	666				hypothetical protein
KHHDGJBG_00968	CDS	903	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
KHHDGJBG_00969	CDS	477				hypothetical protein
KHHDGJBG_00970	CDS	429	ureE			Urease accessory protein UreE
KHHDGJBG_00971	CDS	954				hypothetical protein
KHHDGJBG_00972	CDS	261				hypothetical protein
KHHDGJBG_00973	CDS	396				hypothetical protein
KHHDGJBG_00974	CDS	213				hypothetical protein
KHHDGJBG_00975	CDS	2376	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
KHHDGJBG_00976	CDS	522			COG1259	putative protein
KHHDGJBG_00977	CDS	924				Epimerase family protein
KHHDGJBG_00978	CDS	1227	ugpC	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
KHHDGJBG_00979	CDS	1488	spkF	2.7.11.1		Serine/threonine-protein kinase F
KHHDGJBG_00980	CDS	747		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
KHHDGJBG_00981	CDS	747	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
KHHDGJBG_00982	CDS	2466	bamA			Outer membrane protein assembly factor BamA
KHHDGJBG_00983	CDS	1644	prfC			Peptide chain release factor 3
KHHDGJBG_00984	CDS	1497				hypothetical protein
KHHDGJBG_00985	CDS	864				hypothetical protein
KHHDGJBG_00986	CDS	1005		1.6.3.5	COG3380	Renalase
KHHDGJBG_00987	CDS	537				hypothetical protein
KHHDGJBG_00988	CDS	264				hypothetical protein
KHHDGJBG_00989	CDS	1728	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
KHHDGJBG_00990	CDS	252	bchB_1	1.3.7.7		Light-independent protochlorophyllide reductase subunit B
KHHDGJBG_00991	CDS	345		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
KHHDGJBG_00992	CDS	882			COG0596	putative protein
KHHDGJBG_00993	CDS	534				hypothetical protein
KHHDGJBG_00994	CDS	177				hypothetical protein
KHHDGJBG_00995	CDS	1452				hypothetical protein
KHHDGJBG_00996	CDS	429				hypothetical protein
KHHDGJBG_00997	CDS	1353	codAch2	3.5.4.11	COG0402	Pterin deaminase
KHHDGJBG_00998	CDS	348				hypothetical protein
KHHDGJBG_00999	CDS	267				hypothetical protein
KHHDGJBG_01000	CDS	891	todF	3.7.1.25		2-hydroxy-6-oxo-2,4-heptadienoate hydrolase
KHHDGJBG_01001	CDS	186				hypothetical protein
KHHDGJBG_01002	CDS	267				putative glutaredoxin
KHHDGJBG_01003	CDS	963	gshB	6.3.2.3	COG0189	Glutathione synthetase
KHHDGJBG_01004	CDS	267				hypothetical protein
KHHDGJBG_01005	CDS	828	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
KHHDGJBG_01006	CDS	1593	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
KHHDGJBG_01007	CDS	540				hypothetical protein
KHHDGJBG_01008	CDS	348				hypothetical protein
KHHDGJBG_01009	CDS	231				hypothetical protein
KHHDGJBG_01010	CDS	225				hypothetical protein
KHHDGJBG_01011	CDS	1443	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
KHHDGJBG_01012	CDS	1284				hypothetical protein
KHHDGJBG_01013	CDS	852				hypothetical protein
KHHDGJBG_01014	CDS	339				hypothetical protein
KHHDGJBG_01015	CDS	870				hypothetical protein
KHHDGJBG_01016	CDS	2967	ileS	6.1.1.5		Isoleucine--tRNA ligase
KHHDGJBG_01017	CDS	225				hypothetical protein
KHHDGJBG_01018	CDS	3351				hypothetical protein
KHHDGJBG_01019	CDS	432				hypothetical protein
KHHDGJBG_01020	CDS	2037				hypothetical protein
KHHDGJBG_01021	CDS	1185	oxdC	4.1.1.2	COG2140	Oxalate decarboxylase OxdC
KHHDGJBG_01022	CDS	2535	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
KHHDGJBG_01023	CDS	135				hypothetical protein
KHHDGJBG_01024	CDS	459				hypothetical protein
KHHDGJBG_01025	CDS	537				hypothetical protein
KHHDGJBG_01026	CDS	246				hypothetical protein
KHHDGJBG_01027	CDS	858				hypothetical protein
KHHDGJBG_01028	CDS	1845				hypothetical protein
KHHDGJBG_01029	CDS	1002				hypothetical protein
KHHDGJBG_01030	CDS	255				hypothetical protein
KHHDGJBG_01031	tRNA	74				tRNA-Met(cat)
KHHDGJBG_01032	CDS	2280				hypothetical protein
KHHDGJBG_01033	CDS	2997	rcsC_9	2.7.13.3		Sensor histidine kinase RcsC
KHHDGJBG_01034	CDS	1419				hypothetical protein
KHHDGJBG_01035	CDS	924	scrK	2.7.1.4	COG0524	Fructokinase
KHHDGJBG_01036	CDS	462				hypothetical protein
KHHDGJBG_01037	CDS	315				hypothetical protein
KHHDGJBG_01038	CDS	1197				hypothetical protein
KHHDGJBG_01039	CDS	666	ppaX_1	3.6.1.1	COG0546	Pyrophosphatase PpaX
KHHDGJBG_01040	CDS	933	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
KHHDGJBG_01041	CDS	495	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
KHHDGJBG_01042	CDS	189	psbZ			Photosystem II reaction center protein Z
KHHDGJBG_01043	tRNA	82				tRNA-Leu(caa)
KHHDGJBG_01044	CDS	987	rpsA_1		COG0539	30S ribosomal protein S1
KHHDGJBG_01045	CDS	849				IS630 family transposase ISTcSa
KHHDGJBG_01046	CDS	1155	recF_2		COG1195	DNA replication and repair protein RecF
KHHDGJBG_01047	CDS	1740		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
KHHDGJBG_01048	CDS	1776	pyk	2.7.1.40		Pyruvate kinase
KHHDGJBG_01049	CDS	402				hypothetical protein
KHHDGJBG_01050	CDS	516				hypothetical protein
KHHDGJBG_01051	CDS	1503		2.7.4.-	COG2326	Polyphosphate:AMP phosphotransferase
KHHDGJBG_01052	CDS	1089	bioB	2.8.1.6		Biotin synthase
KHHDGJBG_01053	CDS	654				hypothetical protein
KHHDGJBG_01054	CDS	486	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
KHHDGJBG_01055	CDS	150				hypothetical protein
KHHDGJBG_01056	CDS	1425				hypothetical protein
KHHDGJBG_01057	CDS	771				hypothetical protein
KHHDGJBG_01058	CDS	246				hypothetical protein
KHHDGJBG_01059	CDS	1719				putative protein
KHHDGJBG_01060	CDS	1584				hypothetical protein
KHHDGJBG_01061	CDS	270	phaP			Phasin PhaP
KHHDGJBG_01062	CDS	2532	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
KHHDGJBG_01063	CDS	594	cbiT	2.1.1.196	COG2242	Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)
KHHDGJBG_01064	CDS	882				hypothetical protein
KHHDGJBG_01065	CDS	1518				hypothetical protein
KHHDGJBG_01066	CDS	450				hypothetical protein
KHHDGJBG_01067	CDS	5937				hypothetical protein
KHHDGJBG_01068	CDS	1371				hypothetical protein
KHHDGJBG_01069	CDS	438	mscL			Large-conductance mechanosensitive channel
KHHDGJBG_01070	CDS	636	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
KHHDGJBG_01071	CDS	777				hypothetical protein
KHHDGJBG_01072	CDS	1230				hypothetical protein
KHHDGJBG_01073	CDS	252				hypothetical protein
KHHDGJBG_01074	CDS	1452	gatA	6.3.5.7		Glutamyl-tRNA(Gln) amidotransferase subunit A
KHHDGJBG_01075	CDS	738				hypothetical protein
KHHDGJBG_01076	CDS	399	gcvH		COG0509	Glycine cleavage system H protein
KHHDGJBG_01077	CDS	1773	rqcH			Rqc2 RqcH
KHHDGJBG_01078	CDS	1164	nspC	4.1.1.96		Carboxynorspermidine/carboxyspermidine decarboxylase
KHHDGJBG_01079	CDS	213				hypothetical protein
KHHDGJBG_01080	CDS	312				hypothetical protein
KHHDGJBG_01081	CDS	393				hypothetical protein
KHHDGJBG_01082	CDS	1179				hypothetical protein
KHHDGJBG_01083	CDS	150				hypothetical protein
KHHDGJBG_01084	CDS	1446	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
KHHDGJBG_01085	CDS	429				hypothetical protein
KHHDGJBG_01086	CDS	1020	gap1	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 1
KHHDGJBG_01087	CDS	96				hypothetical protein
KHHDGJBG_01088	CDS	576				hypothetical protein
KHHDGJBG_01089	CDS	597	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
KHHDGJBG_01090	CDS	894	lipA2	2.8.1.8	COG0320	Lipoyl synthase 2
KHHDGJBG_01091	CDS	1209				hypothetical protein
KHHDGJBG_01092	CDS	744	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase
KHHDGJBG_01093	CDS	810	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
KHHDGJBG_01094	CDS	507				hypothetical protein
KHHDGJBG_01095	CDS	1227	ubiB_2	2.7.-.-	COG0661	putative protein kinase UbiB
KHHDGJBG_01096	CDS	270				hypothetical protein
KHHDGJBG_01097	CDS	396				hypothetical protein
KHHDGJBG_01098	CDS	1881	uvrC		COG0322	UvrABC system protein C
KHHDGJBG_01099	CDS	1776				hypothetical protein
KHHDGJBG_01100	CDS	573				hypothetical protein
KHHDGJBG_01101	CDS	384				hypothetical protein
KHHDGJBG_01102	CDS	1512				hypothetical protein
KHHDGJBG_01103	CDS	912	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
KHHDGJBG_01104	CDS	522				hypothetical protein
KHHDGJBG_01105	CDS	987	petA			Cytochrome f
KHHDGJBG_01106	CDS	543	petC_1	7.1.1.6	COG0723	Cytochrome b6-f complex iron-sulfur subunit
KHHDGJBG_01107	CDS	195	psbH			Photosystem II reaction center protein H
KHHDGJBG_01108	CDS	132	psbN			Protein PsbN
KHHDGJBG_01109	CDS	270				hypothetical protein
KHHDGJBG_01110	CDS	1059				hypothetical protein
KHHDGJBG_01111	CDS	1110				hypothetical protein
KHHDGJBG_01112	CDS	9051				hypothetical protein
KHHDGJBG_01113	CDS	741	hcaB_2	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
KHHDGJBG_01114	CDS	546				hypothetical protein
KHHDGJBG_01115	CDS	870				hypothetical protein
KHHDGJBG_01116	CDS	981	pkwA_1	2.7.11.1		putative serine/threonine-protein kinase PkwA
KHHDGJBG_01117	CDS	1005	pkwA_2	2.7.11.1		putative serine/threonine-protein kinase PkwA
KHHDGJBG_01118	CDS	528				hypothetical protein
KHHDGJBG_01119	CDS	1008				hypothetical protein
KHHDGJBG_01120	CDS	888		3.3.2.10		Soluble epoxide hydrolase
KHHDGJBG_01121	CDS	864		5.1.3.30	COG1082	D-psicose 3-epimerase
KHHDGJBG_01122	CDS	807				hypothetical protein
KHHDGJBG_01123	CDS	171				hypothetical protein
KHHDGJBG_01124	CDS	804				hypothetical protein
KHHDGJBG_01125	CDS	444	lsrG	5.3.1.32		(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
KHHDGJBG_01126	CDS	105				hypothetical protein
KHHDGJBG_01127	CDS	567				hypothetical protein
KHHDGJBG_01128	CDS	342				hypothetical protein
KHHDGJBG_01129	CDS	597			COG0693	putative protein
KHHDGJBG_01130	CDS	1824		5.1.3.11		Cellobiose 2-epimerase
KHHDGJBG_01131	CDS	330	rsbV		COG1366	Anti-sigma-B factor antagonist
KHHDGJBG_01132	CDS	2124	glgX_2	3.2.1.-	COG1523	Glycogen operon protein GlgX 
KHHDGJBG_01133	CDS	327				hypothetical protein
KHHDGJBG_01134	CDS	1905				hypothetical protein
KHHDGJBG_01135	CDS	432				hypothetical protein
KHHDGJBG_01136	CDS	705				hypothetical protein
KHHDGJBG_01137	CDS	1017			COG3385	IS4 family transposase IS4Sa
KHHDGJBG_01138	CDS	1521				hypothetical protein
KHHDGJBG_01139	CDS	1071				hypothetical protein
KHHDGJBG_01140	CDS	1392				hypothetical protein
KHHDGJBG_01141	CDS	1002				hypothetical protein
KHHDGJBG_01142	CDS	1047	trpD2	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase 2
KHHDGJBG_01143	CDS	678	deoC1	4.1.2.4		Deoxyribose-phosphate aldolase 1
KHHDGJBG_01144	CDS	2454				hypothetical protein
KHHDGJBG_01145	CDS	225				hypothetical protein
KHHDGJBG_01146	CDS	783				hypothetical protein
KHHDGJBG_01147	CDS	750				hypothetical protein
KHHDGJBG_01148	CDS	120				hypothetical protein
KHHDGJBG_01149	CDS	750				hypothetical protein
KHHDGJBG_01150	CDS	237				hypothetical protein
KHHDGJBG_01151	CDS	699	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
KHHDGJBG_01152	CDS	888	dmlR_1			HTH-type transcriptional regulator DmlR
KHHDGJBG_01153	CDS	2469	mutS2	3.1.-.-		Endonuclease MutS2
KHHDGJBG_01154	CDS	765	prpC	3.1.3.16	COG0631	Protein phosphatase PrpC
KHHDGJBG_01155	CDS	1758	ubiB_3	2.7.-.-	COG0661	putative protein kinase UbiB
KHHDGJBG_01156	CDS	183				hypothetical protein
KHHDGJBG_01157	CDS	318				hypothetical protein
KHHDGJBG_01158	CDS	273				hypothetical protein
KHHDGJBG_01159	CDS	177				hypothetical protein
KHHDGJBG_01160	CDS	975	dppB_1		COG0601	Dipeptide transport system permease protein DppB
KHHDGJBG_01161	CDS	1065	ddl	6.3.2.4		D-alanine--D-alanine ligase
KHHDGJBG_01162	CDS	639				hypothetical protein
KHHDGJBG_01163	CDS	297	clpS_1			ATP-dependent Clp protease adapter protein ClpS
KHHDGJBG_01164	CDS	474				hypothetical protein
KHHDGJBG_01165	CDS	336	rpsF		COG0360	30S ribosomal protein S6
KHHDGJBG_01166	CDS	831				hypothetical protein
KHHDGJBG_01167	CDS	819	cpcE	4.-.-.-	COG1413	Phycocyanobilin lyase subunit alpha
KHHDGJBG_01168	CDS	1197				hypothetical protein
KHHDGJBG_01169	CDS	480				hypothetical protein
KHHDGJBG_01170	CDS	435				hypothetical protein
KHHDGJBG_01171	CDS	405				hypothetical protein
KHHDGJBG_01172	CDS	900	gltI_2		COG0834	Glutamate/aspartate import solute-binding protein
KHHDGJBG_01173	CDS	729	cobIJ		COG1010	Cobalamin biosynthesis protein CobIJ
KHHDGJBG_01174	CDS	597				hypothetical protein
KHHDGJBG_01175	CDS	921	thrB_2	2.7.1.39	COG0083	Homoserine kinase
KHHDGJBG_01176	CDS	1134	nahK	2.7.1.162		N-acetylhexosamine 1-kinase
KHHDGJBG_01177	CDS	1467	glmM_1	5.4.2.10		Phosphoglucosamine mutase
KHHDGJBG_01178	CDS	228	fprB	1.18.1.2	COG0493	putative ferredoxin/ferredoxin--NADP reductase
KHHDGJBG_01179	CDS	723	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
KHHDGJBG_01180	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
KHHDGJBG_01181	CDS	819				hypothetical protein
KHHDGJBG_01182	CDS	270				hypothetical protein
KHHDGJBG_01183	CDS	225				hypothetical protein
KHHDGJBG_01184	CDS	1014	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
KHHDGJBG_01185	CDS	168				hypothetical protein
KHHDGJBG_01186	CDS	579				hypothetical protein
KHHDGJBG_01187	CDS	465	rsfS			Ribosomal silencing factor RsfS
KHHDGJBG_01188	CDS	1161				hypothetical protein
KHHDGJBG_01189	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
KHHDGJBG_01190	CDS	1893		2.8.3.-		butyrate:acetyl-CoA coenzyme A-transferase
KHHDGJBG_01191	CDS	2094	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
KHHDGJBG_01192	CDS	615				hypothetical protein
KHHDGJBG_01193	CDS	714	sfsA		COG1489	Sugar fermentation stimulation protein A
KHHDGJBG_01194	CDS	588				hypothetical protein
KHHDGJBG_01195	CDS	957	sigA2_1		COG0568	RNA polymerase sigma factor SigA2
KHHDGJBG_01196	CDS	627	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
KHHDGJBG_01197	CDS	1359	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
KHHDGJBG_01198	CDS	1308		3.4.24.-	COG0612	putative zinc protease
KHHDGJBG_01199	CDS	1293		3.4.24.-	COG0612	putative zinc protease
KHHDGJBG_01200	CDS	777				hypothetical protein
KHHDGJBG_01201	CDS	1212	ispG	1.17.7.1	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)
KHHDGJBG_01202	CDS	417				hypothetical protein
KHHDGJBG_01203	CDS	357				hypothetical protein
KHHDGJBG_01204	CDS	3231	gyrB	5.6.2.2		DNA gyrase subunit B
KHHDGJBG_01205	CDS	258				hypothetical protein
KHHDGJBG_01206	CDS	120	psbY			Photosystem II protein Y
KHHDGJBG_01207	CDS	897	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
KHHDGJBG_01208	CDS	1554	arnT_1	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
KHHDGJBG_01209	CDS	1206	cefD	5.1.1.17	COG0520	Isopenicillin N epimerase
KHHDGJBG_01210	CDS	879				hypothetical protein
KHHDGJBG_01211	CDS	825				hypothetical protein
KHHDGJBG_01212	CDS	930	dpnM	2.1.1.72		Modification methylase DpnIIA
KHHDGJBG_01213	CDS	786			COG3039	IS5 family transposase IS5Sa
KHHDGJBG_01214	CDS	747	ycdF	1.1.1.47	COG1028	Glucose 1-dehydrogenase 2
KHHDGJBG_01215	CDS	285				hypothetical protein
KHHDGJBG_01216	CDS	633	degU_1		COG2197	Transcriptional regulatory protein DegU
KHHDGJBG_01217	CDS	2217	sasA_6	2.7.-.-		Adaptive-response sensory-kinase SasA
KHHDGJBG_01218	CDS	771				hypothetical protein
KHHDGJBG_01219	CDS	1833	sppA_1	3.4.21.-	COG0616	Protease 4
KHHDGJBG_01220	CDS	513				hypothetical protein
KHHDGJBG_01221	CDS	786	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
KHHDGJBG_01222	CDS	1284	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
KHHDGJBG_01223	CDS	798				hypothetical protein
KHHDGJBG_01224	CDS	1872			COG0747	putative ABC transporter-binding protein
KHHDGJBG_01225	CDS	381				hypothetical protein
KHHDGJBG_01226	CDS	966				hypothetical protein
KHHDGJBG_01227	CDS	480				hypothetical protein
KHHDGJBG_01228	CDS	477				hypothetical protein
KHHDGJBG_01229	CDS	462				hypothetical protein
KHHDGJBG_01230	CDS	465				hypothetical protein
KHHDGJBG_01231	CDS	537				hypothetical protein
KHHDGJBG_01232	CDS	2154				hypothetical protein
KHHDGJBG_01233	CDS	813				hypothetical protein
KHHDGJBG_01234	CDS	513				hypothetical protein
KHHDGJBG_01235	CDS	507				hypothetical protein
KHHDGJBG_01236	CDS	1323	COQ3_3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
KHHDGJBG_01237	CDS	606				hypothetical protein
KHHDGJBG_01238	CDS	438				hypothetical protein
KHHDGJBG_01239	CDS	453				hypothetical protein
KHHDGJBG_01240	CDS	996				hypothetical protein
